feature,signed_auc,prediction_power
V326,0.02647011055776738,0.02647011055776738
V2,0.02615850990268176,0.02615850990268176
V256,0.025934014553422813,0.025934014553422813
V4,0.025396524591710268,0.025396524591710268
D13,-0.024886507927279644,0.024886507927279644
V210,0.02424460460018052,0.02424460460018052
V300,0.023736864078485853,0.023736864078485853
V175,0.02343569273131263,0.02343569273131263
id_05,0.022964979231796967,0.022964979231796967
V208,0.022392657651910675,0.022392657651910675
V174,0.022346770661038073,0.022346770661038073
V104,0.020732030816255076,0.020732030816255076
V209,0.02055790014766079,0.02055790014766079
V135,0.0205277827331265,0.0205277827331265
id_21,0.018451851159578148,0.018451851159578148
id_25,0.01816308435404057,0.01816308435404057
V8,0.016309931483675655,0.016309931483675655
card4,0.015823253411000993,0.015823253411000993
V319,0.015404311744561694,0.015404311744561694
V297,0.015349950011800617,0.015349950011800617
V206,-0.015331158064078587,0.015331158064078587
V255,0.015322598616676286,0.015322598616676286
V173,-0.015321606503744811,0.015321606503744811
V250,0.015022426532322664,0.015022426532322664
id_26,0.014672991774906885,0.014672991774906885
M7,0.014337187697019749,0.014337187697019749
id_04,-0.013349119174713708,0.013349119174713708
id_22,0.013161324250398954,0.013161324250398954
V26,0.012972845704607439,0.012972845704607439
id_27,0.012947918636332822,0.012947918636332822
id_23,0.012927441827310426,0.012927441827310426
id_24,0.012702773054873218,0.012702773054873218
dist2,-0.011694879446373485,0.011694879446373485
V6,0.011444250580130433,0.011444250580130433
V119,0.009181138159967128,0.009181138159967128
V117,0.009127325785357021,0.009127325785357021
V118,0.008576257268307463,0.008576257268307463
V334,0.007970838448568829,0.007970838448568829
V266,0.007718036522731397,0.007718036522731397
V223,0.007660376810897596,0.007660376810897596
V325,0.00747381393586366,0.00747381393586366
V172,-0.006528662497502946,0.006528662497502946
V205,-0.006153597737998728,0.006153597737998728
V269,-0.0056784827076110655,0.0056784827076110655
V311,0.005276412470519354,0.005276412470519354
V286,0.00517488334954308,0.00517488334954308
V122,0.004656811554472506,0.004656811554472506
V121,0.004456722708884087,0.004456722708884087
TransactionAmt,-0.004418335837488074,0.004418335837488074
C3,-0.00411987829515581,0.00411987829515581
id_11,0.0040229496177814905,0.0040229496177814905
V120,0.004018870793102591,0.004018870793102591
id_10,0.0035767764686227554,0.0035767764686227554
V207,0.0017650002798812459,0.0017650002798812459
V25,0.0016918669492398397,0.0016918669492398397
V240,0.0010210931582055327,0.0010210931582055327
V89,-0.000871240542092977,0.000871240542092977
V28,-0.0007846939158101529,0.0007846939158101529
V27,-0.0007820157795787042,0.0007820157795787042
V41,0.0006520122349364943,0.0006520122349364943
V68,-0.000503886357544947,0.000503886357544947
V241,0.00047137351742931877,0.00047137351742931877
V14,0.00027035315800061355,0.00027035315800061355
V65,0.00026326397612175256,0.00026326397612175256
V107,0.0002580798051388111,0.0002580798051388111
V88,0.00018339819003720947,0.00018339819003720947
M1,6.377578135952078e-05,6.377578135952078e-05
V1,3.489746688001283e-05,3.489746688001283e-05
V305,-7.019185774503889e-06,7.019185774503889e-06
