feature,feature_type,missing_fraction,n_unique,most_frequent_fraction,is_constant,is_near_constant,is_likely_identifier,signed_auc,prediction_power,train_signed_auc,heldout_signed_auc,abs_auc_delta,stable,importance,permutation_importance,prediction_power_rank_score,importance_rank_score,permutation_importance_rank_score,composite_score
V178,numeric,0.7638590668427767,980,0.7638590668427767,False,False,False,0.34198599722281764,0.34198599722281764,0.34198599722281764,0.34917290318352534,0.007186905960707701,True,1.5596008117724673,0.0,0.49438872611761425,0.23865862582707856,0.0,0.30492740989829775
id_20,categorical,0.7644912565900137,371,0.7644912565900137,False,False,False,0.37784728633679565,0.37784728633679565,0.37784728633679565,0.3633870271598394,0.014460259176956258,True,1.135406943489798,0.0,0.5462312494547427,0.17374616558440953,0.0,0.30444618133263407
V232,numeric,0.7793838407784965,283,0.7793838407784965,False,False,False,0.42375944350336336,0.42375944350336336,0.42375944350336336,0.42964637430229047,0.005886930798927104,True,0.5036272248683039,0.0,0.612603712301817,0.07706778587757618,0.0,0.3017623559731303
ProductCD,categorical,0.0,5,0.7449723981440716,False,False,False,0.3609560153546467,0.3609560153546467,0.3609560153546467,0.3510165806132117,0.009939434741434994,True,1.242398858154889,0.0,0.5218125480716825,0.19011865214368426,0.0,0.2998662596713314
V265,numeric,0.7793838407784965,9510,0.7793838407784965,False,False,False,0.4518782716401486,0.4518782716401486,0.4518782716401486,0.4571075754652858,0.005229303825137199,True,0.10668683668472262,0.0,0.6532534223348506,0.016325801862129646,0.0,0.29889367512865755
V274,numeric,0.7793838407784965,6686,0.7793838407784965,False,False,False,0.4198778412658555,0.4198778412658555,0.4198778412658555,0.4256140879516479,0.005736246685792423,True,0.2903470496411129,0.0,0.6069923118319711,0.04443048974919613,0.0,0.2878367747337368
id_15,categorical,0.7615922150348269,3,0.7615922150348269,False,False,False,0.3427327912727276,0.3427327912727276,0.3427327912727276,0.3264654116725658,0.01626737960016178,True,1.1624787288893454,0.0,0.495468321662477,0.17788883789733223,0.0,0.28278173107215665
D2,numeric,0.4754744245379935,641,0.4754744245379935,False,False,False,-0.40832494566840405,0.40832494566840405,-0.40832494566840405,-0.4065795749541604,0.0017453707142436325,True,0.2993375039479054,0.0,0.5902909808307709,0.04580625812160531,0.0,0.2814013261092722
V179,numeric,0.7638590668427767,777,0.7638590668427767,False,False,False,0.3340334819287498,0.3340334819287498,0.3340334819287498,0.34211104707560236,0.008077565146852539,True,1.1663766977278949,0.0,0.48289224983615,0.17848532635739384,0.0,0.2785597418793274
V229,numeric,0.7793838407784965,86,0.7793838407784965,False,False,False,0.42334331500891254,0.42334331500891254,0.42334331500891254,0.42822681489488446,0.00488349988597192,True,0.0573310524200718,0.0,0.6120021401966914,0.008773110455260979,0.0,0.2777390267649567
card5,categorical,0.007209220939027557,114,0.5019925266140595,False,False,False,0.29883421392041654,0.29883421392041654,0.29883421392041654,0.2873136121139239,0.011520601806492614,True,1.5515435522575876,0.0,0.4320067708626521,0.23742566001349452,0.0,0.2757739376219427
V203,numeric,0.7638590668427767,12028,0.7638590668427767,False,False,False,0.3584664181992765,0.3584664181992765,0.3584664181992765,0.3607600259146839,0.002293607715407431,True,0.7651302184669553,0.0,0.5182134861914162,0.11708440079007633,0.0,0.27383156790535285
C10,numeric,0.0,1032,0.7681985978934535,False,False,False,0.3588632697407781,0.3588632697407781,0.3588632697407781,0.3467768729806906,0.012086396760087492,True,0.7830401509460168,0.0,0.5187871907572582,0.11982507637952464,0.0,0.2735800530595867
id_31,categorical,0.7627595082466895,128,0.7627595082466895,False,False,False,0.36200893511205967,0.36200893511205967,0.36200893511205967,0.350006206701005,0.012002728411054653,True,0.7359930657748601,0.0,0.5233346912640902,0.11262567470483774,0.0,0.2731191879538756
id_29,categorical,0.7616035041374561,2,0.7616035041374561,False,False,False,0.3414276463378345,0.3414276463378345,0.3414276463378345,0.32584191003052854,0.015585736307305975,True,0.9874114224258058,0.0,0.4935815515987886,0.15109908344705567,0.0,0.27265851697982846
